Process1 executes internal event e1 at 19:40:58, vc: [1, 0, 0, 0]
Process1 executes internal event e11 at 19:41:3, vc: [11, 4, 0, 2]
Process2 executes internal event e8 at 19:41:3, vc: [0, 8, 0, 0]
Process3 executes internal event e11 at 19:41:3, vc: [0, 5, 11, 7]
Process4 executes internal event e11 at 19:41:3, vc: [9, 5, 8, 11]
Process1 executes internal event e12 at 19:41:4, vc: [12, 4, 0, 2]
Process2 executes internal event e9 at 19:41:4, vc: [0, 9, 0, 0]
Process3 executes internal event e12 at 19:41:4, vc: [0, 5, 12, 7]
Process4 executes internal event e12 at 19:41:4, vc: [9, 5, 8, 12]
Process1 executes internal event e13 at 19:41:5, vc: [13, 4, 0, 2]
Process2 executes internal event e10 at 19:41:5, vc: [0, 10, 0, 0]
Process3 sends message m34 to process4 at 19:41:5, vc: [0, 5, 13, 7]
Process4 sends message m41 to process1 at 19:41:5, vc: [9, 5, 8, 13]
Process1 receives m41 from process4 at 19:41:5, vc: [14, 5, 8, 13]
Process4 receives m34 from process3 at 19:41:5, vc: [9, 5, 13, 14]
Process1 sends message m14 to process4 at 19:41:6, vc: [15, 5, 8, 13]
Process2 executes internal event e11 at 19:41:6, vc: [0, 11, 0, 0]
Process3 executes internal event e14 at 19:41:6, vc: [0, 5, 14, 7]
Process4 sends message m43 to process3 at 19:41:6, vc: [9, 5, 13, 15]
Process3 receives m43 from process4 at 19:41:6, vc: [9, 5, 15, 15]
Process4 receives m14 from process1 at 19:41:6, vc: [15, 5, 13, 16]
Process1 executes internal event e16 at 19:41:6, vc: [16, 5, 8, 13]
Process2 executes internal event e12 at 19:41:6, vc: [0, 12, 0, 0]
Process3 sends message m34 to process4 at 19:41:6, vc: [9, 5, 16, 15]
Process4 executes internal event e17 at 19:41:6, vc: [15, 5, 13, 17]
Process4 receives m34 from process3 at 19:41:6, vc: [15, 5, 16, 18]
Process1 sends message m12 to process2 at 19:41:7, vc: [17, 5, 8, 13]
Process2 executes internal event e13 at 19:41:7, vc: [0, 13, 0, 0]
Process3 executes internal event e17 at 19:41:7, vc: [9, 5, 17, 15]
Process4 executes internal event e19 at 19:41:7, vc: [15, 5, 16, 19]
Process2 receives m12 from process1 at 19:41:7, vc: [17, 14, 8, 13]
Process1 executes internal event e18 at 19:41:8, vc: [18, 5, 8, 13]
Process2 sends message m21 to process1 at 19:41:8, vc: [17, 15, 8, 13]
Process3 executes internal event e18 at 19:41:8, vc: [9, 5, 18, 15]
Process4 executes internal event e20 at 19:41:8, vc: [15, 5, 16, 20]
Process1 receives m21 from process2 at 19:41:8, vc: [19, 15, 8, 13]
Process1 sends message m14 to process4 at 19:41:9, vc: [20, 15, 8, 13]
Process2 executes internal event e16 at 19:41:9, vc: [17, 16, 8, 13]
Process3 sends message m32 to process2 at 19:41:9, vc: [9, 5, 19, 15]
Process4 executes internal event e21 at 19:41:9, vc: [15, 5, 16, 21]
Process2 receives m32 from process3 at 19:41:9, vc: [17, 17, 19, 15]
Process4 receives m14 from process1 at 19:41:9, vc: [20, 15, 16, 22]
Process1 executes internal event e21 at 19:41:10, vc: [21, 15, 8, 13]
Process3 sends message m34 to process4 at 19:41:10, vc: [9, 5, 20, 15]
Process2 executes internal event e18 at 19:41:10, vc: [17, 18, 19, 15]
Process4 sends message m43 to process3 at 19:41:10, vc: [20, 15, 16, 23]
Process3 receives m43 from process4 at 19:41:10, vc: [20, 15, 21, 23]
Process4 receives m34 from process3 at 19:41:10, vc: [20, 15, 20, 24]
Process1 sends message m12 to process2 at 19:41:10, vc: [22, 15, 8, 13]
Process3 sends message m32 to process2 at 19:41:10, vc: [20, 15, 22, 23]
Process2 sends message m23 to process3 at 19:41:10, vc: [17, 19, 19, 15]
Process4 executes internal event e25 at 19:41:10, vc: [20, 15, 20, 25]
Process2 receives m32 from process3 at 19:41:10, vc: [20, 20, 22, 23]
Process3 receives m23 from process2 at 19:41:10, vc: [20, 19, 23, 23]
Process2 receives m12 from process1 at 19:41:10, vc: [22, 21, 22, 23]
Process1 sends message m14 to process4 at 19:41:11, vc: [23, 15, 8, 13]
Process3 executes internal event e24 at 19:41:11, vc: [20, 19, 24, 23]
Process2 executes internal event e22 at 19:41:11, vc: [22, 22, 22, 23]
Process4 sends message m43 to process3 at 19:41:11, vc: [20, 15, 20, 26]
Process3 receives m43 from process4 at 19:41:11, vc: [20, 19, 25, 26]
Process4 receives m14 from process1 at 19:41:11, vc: [23, 15, 20, 27]
Process1 executes internal event e24 at 19:41:12, vc: [24, 15, 8, 13]
Process3 sends message m32 to process2 at 19:41:12, vc: [20, 19, 26, 26]
Process2 executes internal event e23 at 19:41:12, vc: [22, 23, 22, 23]
Process4 sends message m41 to process1 at 19:41:12, vc: [23, 15, 20, 28]
Process2 receives m32 from process3 at 19:41:12, vc: [22, 24, 26, 26]
Process1 receives m41 from process4 at 19:41:12, vc: [25, 15, 20, 28]
Process1 sends message m14 to process4 at 19:41:13, vc: [26, 15, 20, 28]
Process3 sends message m32 to process2 at 19:41:13, vc: [20, 19, 27, 26]
Process2 executes internal event e25 at 19:41:13, vc: [22, 25, 26, 26]
Process4 executes internal event e29 at 19:41:13, vc: [23, 15, 20, 29]
Process2 receives m32 from process3 at 19:41:13, vc: [22, 26, 27, 26]
Process4 receives m14 from process1 at 19:41:13, vc: [26, 15, 20, 30]
Process1 executes internal event e27 at 19:41:14, vc: [27, 15, 20, 28]
Process3 executes internal event e28 at 19:41:14, vc: [20, 19, 28, 26]
Process2 sends message m23 to process3 at 19:41:14, vc: [22, 27, 27, 26]
Process4 sends message m41 to process1 at 19:41:14, vc: [26, 15, 20, 31]
Process1 receives m41 from process4 at 19:41:14, vc: [28, 15, 20, 31]
Process3 receives m23 from process2 at 19:41:14, vc: [22, 27, 29, 26]
Process1 sends message m14 to process4 at 19:41:14, vc: [29, 15, 20, 31]
Process3 sends message m34 to process4 at 19:41:14, vc: [22, 27, 30, 26]
Process2 sends message m21 to process1 at 19:41:14, vc: [22, 28, 27, 26]
Process4 sends message m43 to process3 at 19:41:14, vc: [26, 15, 20, 32]
Process3 receives m43 from process4 at 19:41:14, vc: [26, 27, 31, 32]
Process4 receives m34 from process3 at 19:41:14, vc: [26, 27, 30, 33]
Process4 receives m14 from process1 at 19:41:14, vc: [29, 27, 30, 34]
Process1 receives m21 from process2 at 19:41:14, vc: [30, 28, 27, 31]
Process1 executes internal event e31 at 19:41:15, vc: [31, 28, 27, 31]
Process3 executes internal event e32 at 19:41:15, vc: [26, 27, 32, 32]
Process2 sends message m23 to process3 at 19:41:15, vc: [22, 29, 27, 26]
Process4 executes internal event e35 at 19:41:15, vc: [29, 27, 30, 35]
Process3 receives m23 from process2 at 19:41:15, vc: [26, 29, 33, 32]
Process1 sends message m14 to process4 at 19:41:16, vc: [32, 28, 27, 31]
Process3 executes internal event e34 at 19:41:16, vc: [26, 29, 34, 32]
Process2 sends message m23 to process3 at 19:41:16, vc: [22, 30, 27, 26]
Process4 executes internal event e36 at 19:41:16, vc: [29, 27, 30, 36]
Process3 receives m23 from process2 at 19:41:16, vc: [26, 30, 35, 32]
Process4 receives m14 from process1 at 19:41:16, vc: [32, 28, 30, 37]
Process1 sends message m14 to process4 at 19:41:17, vc: [33, 28, 27, 31]
Process3 executes internal event e36 at 19:41:17, vc: [26, 30, 36, 32]
Process2 executes internal event e31 at 19:41:17, vc: [22, 31, 27, 26]
Process4 sends message m43 to process3 at 19:41:17, vc: [32, 28, 30, 38]
Process3 receives m43 from process4 at 19:41:17, vc: [32, 30, 37, 38]
Process4 receives m14 from process1 at 19:41:17, vc: [33, 28, 30, 39]
#Entries: 160 | #Msgs: 40
