Process1 sends message m14 to process4 at 19:42:50, vc: [1, 0, 0, 0]
Process4 receives m34 from process3 at 19:43:6, vc: [25, 28, 29, 28]
Process2 receives m12 from process1 at 19:43:6, vc: [27, 30, 23, 6]
Process1 receives m41 from process4 at 19:43:6, vc: [28, 21, 15, 27]
Process1 receives m21 from process2 at 19:43:6, vc: [29, 29, 15, 27]
Process1 sends message m12 to process2 at 19:43:6, vc: [30, 29, 15, 27]
Process4 executes internal event e29 at 19:43:6, vc: [25, 28, 29, 29]
Process3 executes internal event e30 at 19:43:6, vc: [25, 28, 30, 22]
Process2 executes internal event e31 at 19:43:6, vc: [27, 31, 23, 6]
Process2 receives m12 from process1 at 19:43:6, vc: [30, 32, 23, 27]
Process1 executes internal event e31 at 19:43:7, vc: [31, 29, 15, 27]
Process4 executes internal event e30 at 19:43:7, vc: [25, 28, 29, 30]
Process3 executes internal event e31 at 19:43:7, vc: [25, 28, 31, 22]
Process2 executes internal event e33 at 19:43:7, vc: [30, 33, 23, 27]
Process1 executes internal event e32 at 19:43:8, vc: [32, 29, 15, 27]
Process4 executes internal event e31 at 19:43:8, vc: [25, 28, 29, 31]
Process3 executes internal event e32 at 19:43:8, vc: [25, 28, 32, 22]
Process2 executes internal event e34 at 19:43:8, vc: [30, 34, 23, 27]
Process1 executes internal event e33 at 19:43:9, vc: [33, 29, 15, 27]
Process4 executes internal event e32 at 19:43:9, vc: [25, 28, 29, 32]
Process3 executes internal event e33 at 19:43:9, vc: [25, 28, 33, 22]
Process2 sends message m23 to process3 at 19:43:9, vc: [30, 35, 23, 27]
Process3 receives m23 from process2 at 19:43:9, vc: [30, 35, 34, 27]
Process1 executes internal event e34 at 19:43:10, vc: [34, 29, 15, 27]
Process4 sends message m43 to process3 at 19:43:10, vc: [25, 28, 29, 33]
Process3 sends message m34 to process4 at 19:43:10, vc: [30, 35, 35, 27]
Process2 executes internal event e36 at 19:43:10, vc: [30, 36, 23, 27]
Process3 receives m43 from process4 at 19:43:10, vc: [30, 35, 36, 33]
Process4 receives m34 from process3 at 19:43:10, vc: [30, 35, 35, 34]
#Entries: 87 | #Msgs: 40
